"airline-icon src","summary-marketing-airlines","itemAirport","itemAirport 2","summary-luggage-unit","summary-transit","flight-departure-time","flight-arrival-time","summary-duration","money-int","summary-seats","itemAirport 3"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/EW.png","Eurowings","LHR","HAM","1x23 kg","1 Aktarma","19:25","07:30","11sa 5dk","21.975","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KL.png","KLM Royal Dutch Airlines","LCY","AMS","Kabin bagajı","1 Aktarma","19:05","09:25","13sa 20dk","21.992","Son 2 koltuk","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LHR","ORY","1x23 kg","Direkt Uçuş","15:05","17:40","1sa 35dk","21.994","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","16:30","21:45","4sa 15dk","22.051","","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","14:10","21:45","6sa 35dk","22.051","","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/SK.png","Scandinavian Airlines","LHR","ARN","1x23 kg","1 Aktarma","06:40","20:35","12sa 55dk","22.524","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/SN.png","Brussels Airlines","LHR","BRU","1x23 kg","1 Aktarma","17:50","07:30","12sa 40dk","23.222","Son 1 koltuk","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/SK.png","Scandinavian Airlines","LHR","CPH","1x23 kg","1 Aktarma","19:30","08:15","11sa 45dk","23.253","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/SK.png","Scandinavian Airlines","LHR","OSL","1x23 kg","1 Aktarma","10:35","20:00","8sa 25dk","23.924","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/EI.png","Aer Lingus","LHR","DUB","1x20 kg","1 Aktarma","15:50","09:30","16sa 40dk","23.994","Son 1 koltuk","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LGW","FCO","El çantası","1 Aktarma","12:05","23:40","10sa 35dk","24.201","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","14:10","20:35","5sa 25dk","24.959","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/OS.png","Austrian","LHR","VIE","1x23 kg","1 Aktarma","09:05","15:05","5sa","25.446","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/OS.png","Austrian","LHR","VIE","1x23 kg","1 Aktarma","09:05","17:00","6sa 55dk","25.446","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/OS.png","Austrian","LHR","VIE","1x23 kg","1 Aktarma","06:00","15:05","8sa 5dk","25.446","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/OS.png","Austrian","LHR","VIE","1x23 kg","1 Aktarma","09:05","19:20","9sa 15dk","25.446","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/OS.png","Austrian","LHR","VIE","1x23 kg","1 Aktarma","06:00","17:00","10sa","25.446","","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KL.png","KLM Royal Dutch Airlines","LHR","AMS","Kabin bagajı","1 Aktarma","18:35","09:25","13sa 50dk","25.795","Son 3 koltuk","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KL.png","KLM Royal Dutch Airlines","LHR","AMS","Kabin bagajı","1 Aktarma","14:45","20:05","4sa 20dk","25.981","","CDG"
